Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"QA","Élevage","84","Grèce","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","30324","","Donnée officielle"
"QA","Élevage","86","Grenade","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","270","F","Estimation FAO"
"QA","Élevage","87","Guadeloupe","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","300","F","Estimation FAO"
"QA","Élevage","88","Guam","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","300","F","Estimation FAO"
"QA","Élevage","89","Guatemala","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","36000","F","Estimation FAO"
"QA","Élevage","90","Guinée","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","25286","","Donnée officielle"
"QA","Élevage","61","Guinée équatoriale","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","360","F","Estimation FAO"
"QA","Élevage","175","Guinée-Bissau","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","1900","F","Estimation FAO"
"QA","Élevage","91","Guyana","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","25200","F","Estimation FAO"
"QA","Élevage","69","Guyane française","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","93","","Donnée officielle"
"QA","Élevage","93","Haïti","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","5700","F","Estimation FAO"
"QA","Élevage","95","Honduras","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","44500","F","Estimation FAO"
"QA","Élevage","97","Hongrie","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","30075","","Donnée officielle"
"QA","Élevage","36","Îles Caïmanes","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","6","F","Estimation FAO"
"QA","Élevage","47","Îles Cook","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","20","F","Estimation FAO"
